date,type,price,size,stop_price,capital,pnl
2022-05-25,BUY,4505.0,-1,,69803.57,-370.0
2022-06-02,BUY,4788.0,1,4604.0,69741.326,
2022-06-06,SELL,4719.0,1,,68989.979,-690.0
2022-06-08,BUY,4791.0,1,4711.0,68927.69600000001,
2022-06-12,SELL,4691.0,1,,67866.71300000002,-1000.0
2022-06-14,SELL,4547.0,-1,4793.0,67807.60200000001,
2022-06-22,BUY,4235.0,-1,,70872.54700000002,3120.0
2022-06-24,SELL,4189.0,-1,4261.0,70818.09000000003,
2022-06-26,BUY,4274.0,-1,,69912.52800000002,-850.0
2022-06-30,SELL,4265.0,-1,4420.0,69857.08300000001,
2022-07-06,BUY,4209.0,-1,,70362.36600000001,560.0
2022-07-08,SELL,4196.0,-1,4269.0,70307.81800000001,
2022-07-18,BUY,3774.0,-1,,74478.75600000001,4220.0
2022-07-24,SELL,3859.0,-7,3880.0,74127.58700000001,
2022-07-26,BUY,3916.0,-7,,69781.23100000001,-3990.0
2022-08-01,BUY,4104.0,1,3878.0,69727.87900000002,
2022-08-03,SELL,3980.0,1,,68436.13900000001,-1240.0
2022-08-07,BUY,4136.0,1,3963.0,68382.37100000001,
2022-08-09,SELL,4066.0,1,,67629.51300000002,-700.0
2022-08-11,BUY,4150.0,1,4047.0,67575.56300000002,
2022-08-17,SELL,4041.0,1,,66433.03000000003,-1090.0
2022-08-19,SELL,3929.0,-1,4046.87,66381.95300000002,
2022-08-21,BUY,4010.0,-1,,65519.823000000026,-810.0
2022-08-23,BUY,4086.0,1,3924.0,65466.70500000002,
2022-08-29,SELL,3875.0,1,,63306.33000000002,-2110.0
2022-08-31,SELL,3642.0,-1,3751.26,63258.984000000026,
2022-09-02,BUY,3637.0,-1,,63261.70300000002,50.0
2022-09-06,SELL,3673.0,-3,3706.0,63118.45600000002,
2022-09-08,BUY,3791.0,-3,,59430.60700000002,-3540.0
2022-09-12,SELL,3794.0,-1,3907.82,59381.28500000002,
2022-09-18,BUY,3696.0,-1,,60313.237000000016,980.0
2022-09-20,SELL,3664.0,-1,3737.0,60265.60500000002,
2022-09-22,BUY,3766.0,-1,,59196.64700000002,-1020.0
2022-09-30,SELL,3799.0,-1,3860.0,59147.26000000002,
2022-10-14,BUY,3759.0,-1,,59498.39300000002,400.0
2022-10-16,SELL,3675.0,-1,3770.0,59450.61800000002,
2022-11-01,BUY,3485.0,-1,,61305.31300000002,1900.0
2022-11-07,SELL,3571.0,-11,3582.0,60794.66000000002,
2022-11-11,BUY,3637.0,-11,,53014.56900000002,-7260.0
2022-11-13,BUY,3648.0,1,3516.0,52967.14500000002,
2022-11-17,SELL,3716.0,1,,53598.83700000002,680.0
2022-11-23,BUY,3681.0,2,3631.0,53503.13100000002,
2022-11-29,SELL,3748.0,2,,54745.68300000003,1340.0
2022-12-01,BUY,3808.0,1,3717.0,54696.179000000026,
2022-12-11,SELL,3935.0,1,,55915.02400000003,1270.0
2022-12-13,BUY,3986.0,1,3917.0,55863.20600000003,
2022-12-19,SELL,3939.0,1,,55341.999000000025,-470.0
2022-12-21,BUY,3961.0,1,3898.0,55290.50600000002,
2022-12-25,SELL,4006.0,1,,55688.42800000002,450.0
2022-12-27,BUY,4050.0,1,3940.0,55635.77800000002,
2023-01-02,SELL,4063.0,1,,55712.95900000002,130.0
2023-01-06,BUY,4107.0,1,3970.0,55659.568000000014,
2023-01-08,SELL,4093.0,1,,55466.35900000001,-140.0
2023-01-10,BUY,4161.0,1,4072.0,55412.26600000001,
2023-01-16,SELL,4119.0,1,,54938.71900000001,-420.0
2023-01-18,BUY,4196.0,1,4065.0,54884.17100000001,
2023-01-20,SELL,4179.0,1,,54659.84400000001,-170.0
2023-02-01,SELL,4042.0,-1,4273.0,54607.29800000001,
2023-02-03,BUY,4055.0,-1,,54424.58300000001,-130.0
2023-02-05,SELL,4049.0,-10,4059.0,53898.21300000001,
2023-02-07,BUY,4055.0,-10,,52771.06300000001,-600.0
2023-02-13,SELL,4027.0,-1,4100.0,52718.71200000001,
2023-02-15,BUY,4146.0,-1,,51474.814000000006,-1190.0
2023-02-17,BUY,4167.0,1,4030.0,51420.643000000004,
2023-02-23,SELL,4224.0,1,,51935.73100000001,570.0
2023-03-01,BUY,4225.0,1,4150.0,51880.806000000004,
2023-03-05,SELL,4210.0,1,,51676.076,-150.0
2023-03-07,BUY,4249.0,1,4175.0,51620.839,
2023-03-15,SELL,4205.0,1,,51126.174,-440.0
2023-03-17,BUY,4262.0,1,4197.0,51070.768,
2023-03-19,SELL,4194.0,1,,50336.246,-680.0
2023-03-21,SELL,4153.0,-1,4279.0,50282.257,
2023-03-27,BUY,4136.0,-1,,50398.489,170.0
2023-03-31,SELL,4161.0,-5,4178.0,50128.024000000005,
2023-04-06,BUY,3989.0,-5,,58468.739,8600.0
2023-04-10,SELL,3937.0,-1,4008.0,58417.558000000005,
2023-04-14,BUY,3896.0,-1,,58776.91,410.0
2023-04-18,SELL,3927.0,-10,3938.0,58266.4,
2023-04-26,BUY,3691.0,-10,,81386.56999999999,23600.0
2023-04-28,SELL,3660.0,-1,3759.0,81338.98999999999,
2023-05-08,BUY,3691.0,-1,,80981.007,-310.0
2023-05-10,SELL,3600.0,-1,3743.0,80934.207,
2023-05-14,BUY,3667.0,-1,,80216.536,-670.0
2023-05-18,SELL,3645.0,-2,3717.0,80121.76599999999,
2023-05-26,BUY,3493.0,-2,,83070.94799999999,3040.0
2023-05-30,SELL,3463.0,-3,3517.0,82935.89099999999,
2023-06-01,BUY,3596.0,-3,,78805.64699999998,-3990.0
2023-06-07,BUY,3654.0,2,3598.0,78710.64299999998,
